--Category(test start)start--,
test start, (Added: 2024-01-01), <-- reason: test start,
LooneyManOG, (Added: Unknown Date), <-- reason: No reason provided.,
lts Bob, (Added: Unknown Date), <-- reason: No reason provided.,
Luna_DTI, (Added: Unknown Date), <-- reason: No reason provided.,
Lunchman, (Added: Unknown Date), <-- reason: No reason provided.,
MarsPeanut, (Added: Unknown Date), <-- reason: No reason provided.,
MateoPara, (Added: Unknown Date), <-- reason: No reason provided.,
Melon n herb, (Added: Unknown Date), <-- reason: No reason provided.,
MeXingeUrMum, (Added: Unknown Date), <-- reason: No reason provided.,
mikeScoon, (Added: Unknown Date), <-- reason: No reason provided.,
Milburge, (Added: Unknown Date), <-- reason: No reason provided.,
MMKGAMING, (Added: Unknown Date), <-- reason: No reason provided.,
Monogang, (Added: Unknown Date), <-- reason: No reason provided.,
Mordor Orc, (Added: Unknown Date), <-- reason: No reason provided.,
MordorOrc_FE, (Added: Unknown Date), <-- reason: No reason provided.,
Mr Lim, (Added: Unknown Date), <-- reason: No reason provided.,
mud man wins, (Added: Unknown Date), <-- reason: No reason provided.,
MUD Scooper, (Added: Unknown Date), <-- reason: No reason provided.,
MUD Secote, (Added: Unknown Date), <-- reason: No reason provided.,
MUDervenos, (Added: Unknown Date), <-- reason: No reason provided.,
Mudhut CEO, (Added: Unknown Date), <-- reason: No reason provided.,
MUDHUTMUDHUT, (Added: Unknown Date), <-- reason: No reason provided.,
Mudonmychest, (Added: Unknown Date), <-- reason: No reason provided.,
mumstoy, (Added: Unknown Date), <-- reason: No reason provided.,
My Real Dad, (Added: Unknown Date), <-- reason: No reason provided.,
N0T Cultured, (Added: Unknown Date), <-- reason: No reason provided.,
nacl b4lls, (Added: Unknown Date), <-- reason: No reason provided.,
NBATEAM, (Added: Unknown Date), <-- reason: No reason provided.,
NBK RAT, (Added: Unknown Date), <-- reason: No reason provided.,
Nielsr1999, (Added: Unknown Date), <-- reason: No reason provided.,
Nishkea, (Added: Unknown Date), <-- reason: No reason provided.,
NoGroupOn, (Added: Unknown Date), <-- reason: No reason provided.,
noszelias, (Added: Unknown Date), <-- reason: No reason provided.,
nullsec, (Added: Unknown Date), <-- reason: No reason provided.,
obfuscated, (Added: Unknown Date), <-- reason: No reason provided.,
Odd Salmon, (Added: Unknown Date), <-- reason: No reason provided.,
OJScimson, (Added: Unknown Date), <-- reason: No reason provided.,
OMGhosty, (Added: Unknown Date), <-- reason: No reason provided.,
p 31 24, (Added: Unknown Date), <-- reason: No reason provided.,
P R O SPEC, (Added: Unknown Date), <-- reason: No reason provided.,
P13T, (Added: Unknown Date), <-- reason: No reason provided.,
Palmer VII, (Added: Unknown Date), <-- reason: No reason provided.,
Paprika Duck, (Added: Unknown Date), <-- reason: No reason provided.,
patman268, (Added: Unknown Date), <-- reason: No reason provided.,
PeeAyArKayER, (Added: Unknown Date), <-- reason: No reason provided.,
PeggedInDen, (Added: Unknown Date), <-- reason: No reason provided.,
Permut3, (Added: Unknown Date), <-- reason: No reason provided.,
PerryMudic, (Added: Unknown Date), <-- reason: No reason provided.,
Petra Fiyed, (Added: Unknown Date), <-- reason: No reason provided.,
PicklesBTW, (Added: Unknown Date), <-- reason: No reason provided.,
Pirate D Ace, (Added: Unknown Date), <-- reason: No reason provided.,
platpanzer, (Added: Unknown Date), <-- reason: No reason provided.,
Plixz, (Added: Unknown Date), <-- reason: No reason provided.,
provynci, (Added: Unknown Date), <-- reason: No reason provided.,
Pures always, (Added: Unknown Date), <-- reason: No reason provided.,
PvMobiler, (Added: Unknown Date), <-- reason: No reason provided.,
Q ueeflatifa, (Added: Unknown Date), <-- reason: No reason provided.,
Quest By Era, (Added: Unknown Date), <-- reason: No reason provided.,
R I X T A, (Added: Unknown Date), <-- reason: No reason provided.,
Rag Rogues, (Added: 2025-12-30), <-- reason: sent by Girthy Cat to crash our games,
RangedTank07, (Added: Unknown Date), <-- reason: No reason provided.,
Reeceian, (Added: Unknown Date), <-- reason: No reason provided.,
Reta 4 rhys, (Added: Unknown Date), <-- reason: No reason provided.,
RKZ11, (Added: Unknown Date), <-- reason: No reason provided.,
RlCKPlCKlE2, (Added: Unknown Date), <-- reason: No reason provided.,
rymixed, (Added: Unknown Date), <-- reason: No reason provided.,
Sallixs, (Added: Unknown Date), <-- reason: No reason provided.,
Sam Brother, (Added: Unknown Date), <-- reason: No reason provided.,
Sasha D Grey, (Added: Unknown Date), <-- reason: No reason provided.,
Scrublets, (Added: Unknown Date), <-- reason: No reason provided.,
Shadow Ariel, (Added: Unknown Date), <-- reason: No reason provided.,
Shenoy, (Added: Unknown Date), <-- reason: No reason provided.,
ShredTeam6ix, (Added: Unknown Date), <-- reason: No reason provided.,
Sir Dance51, (Added: Unknown Date), <-- reason: No reason provided.,
Sir Eilel, (Added: Unknown Date), <-- reason: No reason provided.,
Sir NiMud, (Added: Unknown Date), <-- reason: No reason provided.,
Skopty, (Added: Unknown Date), <-- reason: No reason provided.,
Slashy21, (Added: Unknown Date), <-- reason: No reason provided.,
Smikkelbeah, (Added: Unknown Date), <-- reason: No reason provided.,
Smlorb, (Added: Unknown Date), <-- reason: No reason provided.,
Smokerton, (Added: Unknown Date), <-- reason: No reason provided.,
Soildusx, (Added: Unknown Date), <-- reason: No reason provided.,
Soul Bruh, (Added: Unknown Date), <-- reason: No reason provided.,
SSJ4 Yasuo, (Added: Unknown Date), <-- reason: No reason provided.,
stimulat3, (Added: Unknown Date), <-- reason: No reason provided.,
Strett8, (Added: Unknown Date), <-- reason: No reason provided.,
Sunny OC, (Added: Unknown Date), <-- reason: No reason provided.,
Sype, (Added: Unknown Date), <-- reason: No reason provided.,
Tandembike03, (Added: Unknown Date), <-- reason: No reason provided.,
Tattywhorus, (Added: Unknown Date), <-- reason: No reason provided.,
Taxi2Lumby, (Added: Unknown Date), <-- reason: No reason provided.,
TB Ferrum, (Added: Unknown Date), <-- reason: No reason provided.,
Teazylad, (Added: Unknown Date), <-- reason: No reason provided.,
thee misfits, (Added: Unknown Date), <-- reason: No reason provided.,
TIDE74, (Added: Unknown Date), <-- reason: No reason provided.,
TJFM, (Added: Unknown Date), <-- reason: No reason provided.,
Tward20, (Added: Unknown Date), <-- reason: No reason provided.,
TzHaarmonic, (Added: Unknown Date), <-- reason: No reason provided.,
UnknownCr, (Added: Unknown Date), <-- reason: No reason provided.,
UrDadsBoyFrd, (Added: Unknown Date), <-- reason: No reason provided.,
UrDadsBoyFrn, (Added: Unknown Date), <-- reason: No reason provided.,
Vixq, (Added: Unknown Date), <-- reason: No reason provided.,
wadasfaf, (Added: Unknown Date), <-- reason: No reason provided.,
was cultured, (Added: Unknown Date), <-- reason: No reason provided.,
Weedgirl6974, (Added: Unknown Date), <-- reason: No reason provided.,
wessaint, (Added: Unknown Date), <-- reason: No reason provided.,
WulfQc, (Added: Unknown Date), <-- reason: No reason provided.,
WWorthy, (Added: Unknown Date), <-- reason: No reason provided.,
xpurt veng, (Added: Unknown Date), <-- reason: No reason provided.,
XT8, (Added: Unknown Date), <-- reason: No reason provided.,
XtothaV, (Added: Unknown Date), <-- reason: No reason provided.,
XYZSDF1237SD, (Added: Unknown Date), <-- reason: No reason provided.,
Yaks Hcim1, (Added: Unknown Date), <-- reason: No reason provided.,
Yewmyenemy, (Added: Unknown Date), <-- reason: No reason provided.,
YourMudTyler, (Added: Unknown Date), <-- reason: No reason provided.,
yxoel, (Added: Unknown Date), <-- reason: No reason provided.,
zGambino, (Added: Unknown Date), <-- reason: No reason provided.,
Zuid Holland, (Added: Unknown Date), <-- reason: No reason provided.,
--Category(Mudhut)end--,

--Category(NBK Rat)start--,
11 Empty 671, (Added: 2026-05-17), <-- reason: In Nbk rat chat channel,
666 N Chill, (Added: 2026-06-13), <-- reason: in NBK Rat Chat-channel,
Betov, (Added: 2026-05-17), <-- reason: In Nbk rat chat channel,
BRICKDAMAIN, (Added: Unknown Date), <-- reason: No reason provided.,
C r o o z, (Added: Unknown Date), <-- reason: No reason provided.,
Casslyn, (Added: 2026-06-13), <-- reason: in NBK Rat Chat-channel,
clap noggins, (Added: Unknown Date), <-- reason: No reason provided.,
Crashoutken, (Added: 2026-05-22), <-- reason: in NBK Rat Chat-channel,
creeamreaper, (Added: 2026-06-13), <-- reason: in NBK Rat Chat-channel,
Cry2daddy, (Added: 2026-05-23), <-- reason: in NBK Rat cc,
Da Mafio, (Added: 2026-06-13), <-- reason: in NBK Rat Chat-channel,
deffo ahk, (Added: Unknown Date), <-- reason: No reason provided.,
EBK VlLLAlN, (Added: 2026-06-13), <-- reason: in NBK Rat Chat-channel,
ExPlayakller, (Added: Unknown Date), <-- reason: No reason provided.,
Factory Work, (Added: 2026-05-31), <-- reason: in NBK Rat Chat Channel,
Fattey, (Added: Unknown Date), <-- reason: No reason provided.,
Gamooooon, (Added: 2026-06-13), <-- reason: in NBK Rat Chat-channel,
GD FR, (Added: 2026-05-31), <-- reason: in NBK Rat Chat Channel,
Girthy Cat, (Added: 2026-05-31), <-- reason: in NBK Rat Chat Channel,
Girthy n 9in, (Added: Unknown Date), <-- reason: No reason provided.,
GL33C3, (Added: 2026-05-23), <-- reason: in NBK Rat cc,
HeyBigMike, (Added: Unknown Date), <-- reason: No reason provided.,
II1II1IIIII, (Added: 2026-05-31), <-- reason: in NBK Rat Chat Channel,
il rat li, (Added: 2026-02-22), <-- reason: Griefing games,
Im Sorry, (Added: Unknown Date), <-- reason: No reason provided.,
JohnnyBlazed, (Added: Unknown Date), <-- reason: No reason provided.,
Kruistochten, (Added: Unknown Date), <-- reason: No reason provided.,
LIGHTBRlNGER, (Added: Unknown Date), <-- reason: No reason provided.,
ll ratje ll, (Added: 2026-02-22), <-- reason: griefing games and il rat li alt,
LordTopKnot, (Added: Unknown Date), <-- reason: No reason provided.,
Lowxe, (Added: 2026-05-17), <-- reason: In Nbk rat chat channel,
M czz, (Added: Unknown Date), <-- reason: No reason provided.,
ManILikeFeet, (Added: Unknown Date), <-- reason: No reason provided.,
Mr 47th, (Added: Unknown Date), <-- reason: No reason provided.,
N A T 3, (Added: Unknown Date), <-- reason: No reason provided.,
Pereiras, (Added: Unknown Date), <-- reason: No reason provided.,
Playakller, (Added: 2026-05-17), <-- reason: In Nbk rat chat channel,
PubLlcEnemyZ, (Added: 2026-05-22), <-- reason: in NBK Rat Chat-channel,
Ratt Trap, (Added: Unknown Date), <-- reason: No reason provided.,
Rixa, (Added: Unknown Date), <-- reason: No reason provided.,
sapphire Br, (Added: Unknown Date), <-- reason: No reason provided.,
sit lil guy, (Added: Unknown Date), <-- reason: No reason provided.,
TismMaxxin, (Added: 2026-05-17), <-- reason: In Nbk rat chat channel,
Toxic Pawg, (Added: 2026-05-23), <-- reason: in NBK Rat cc,
TWIISTEDone, (Added: 2026-05-22), <-- reason: in NBK Rat Chat-channel,
Wolfondleit, (Added: 2026-05-17), <-- reason: In Nbk rat chat channel,
Xvun, (Added: 2026-05-16), <-- reason: attacking cc leaking world to 320,
--Category(NBK Rat)end--,

--Category(Nex Souls)start--,
ih1tliques, (Added: 2026-02-22), <-- reason: Crashing with Nex Souls,
--Category(Nex Souls)end--,

--Category(Other)start--,
1295r8575655, (Added: Unknown Date), <-- reason: <-- barraging fc multiple times over multiple days,
ace4life1, (Added: 2026-03-17), <-- reason: alt of not ace4lyfe (bringing main to crash after flaming ranks),
alberta beef, (Added: Unknown Date), <-- reason: crash threats with bfer.,
AZ fe AZ w, (Added: Unknown Date), <-- reason: No reason provided.,
Bardfinn, (Added: 2026-06-13), <-- reason: pm on after warning,
be poist1ve, (Added: Unknown Date), <-- reason: No reason provided.,
bfer, (Added: Unknown Date), <-- reason: Crashing with alberta beef.,
bh ranges, (Added: Unknown Date), <-- reason: No reason provided.,
brand0077, (Added: 2026-06-08), <-- reason: new rsn of hello love00 who's on akl,
catier, (Added: Unknown Date), <-- reason: TROLL DO NOT REMOVE.,
Communicated, (Added: 2026-05-08), <-- reason: Kewn's new rsn - do not remove,
compacte top, (Added: 2026-01-09), <-- reason: griefing corporeal beast during trip,
cumncup, (Added: 2026-04-26), <-- reason: alt of youtube tv,
Drameinar, (Added: Unknown Date), <-- reason: No reason provided.,
drowseph421, (Added: 2026-06-13), <-- reason: pm on,
duneracoon, (Added: 2026-04-01), <-- reason: leaking worlds to 320,
Fe Phrost, (Added: Unknown Date), <-- reason: No reason provided.,
FlyComeShot, (Added: 2026-06-07), <-- reason: Lots of negative behavior, comparing ranks to "kim jung un" and constantly making comments about decisions made by ranks. Dude was told to stay in his lane and hasn't. He can re-open a ticket [Proof: evidence/flycomeshot/flycomeshot_20260607_190044.png],
Gangster AR, (Added: 2026-06-07), <-- reason: tied to hello love00, who's a suspected bot/gold farmer. They said they're hello love00 in fc, in an attempt to get hello love00 unkicked. We let them back after which they straight away went back messing things up (not joining fc, going off world when in fc, running off in game, not repsonding to anything).,
Grand Smoker, (Added: 2026-03-21), <-- reason: Flaming skill in ge - troll - do not remove [Alt of: Grim Smoker],
Grim Smoker, (Added: 2026-03-21), <-- reason: Flaming skill in ge - troll - do not remove [Alt of: Grand smoker],
hard droly, (Added: 2026-06-12), <-- reason: toxic racist pelican,
hfhytdjrieh, (Added: 2026-03-23), <-- reason: Not old enough to play osrs against Jagex TOS [Proof: evidence/hfhytdjrieh/hfhytdjrieh_20260323_000908.png],
Hinzey2, (Added: 2026-01-01), <-- reason: Crashing with Misfits,
Hunchak, (Added: 2026-01-01), <-- reason: Crashing with Misfits,
i wack u, (Added: 2026-01-01), <-- reason: Crashing with misfits,
IMRulerStick, (Added: 2026-05-20), <-- reason: Leaking cc in main chat after not reading anything - banned from disc / cc [Proof: evidence/imrulerstick/imrulerstick_20260520_193403.png],
Inactivetaco, (Added: 2026-06-12), <-- reason: pm on,
iron test 6, (Added: 2026-06-17), <-- reason: testing git push,
iron test 7, (Added: 2026-06-17), <-- reason: testing github issues,
iron test3, (Added: 2026-06-16), <-- reason: testing add,
iron-test-5, (Added: 2026-06-17), <-- reason: testing sql database,
Iron_test1, (Added: 2026-06-16), <-- reason: testing sql db,
Iron_Test_12, (Added: 2026-06-16), <-- reason: testing DB sync V1,
irontransfix, (Added: 2026-03-19), <-- reason: reporting fc for "win trading" [Proof: evidence/irontransfix/irontransfix_20260319_204434.png],
Its Tzhaar, (Added: 2026-01-01), <-- reason: Crashing with Misfits,
Jascn, (Added: Unknown Date), <-- reason: No reason provided.,
jason, (Added: Unknown Date), <-- reason: No reason provided.,
JOY WORLD, (Added: Unknown Date), <-- reason: JOY WORLD, im onlyraw <- flaming cc after interrupting mid banned in disc ticket 2003,
kn ilk, (Added: 2026-01-01), <-- reason: Crashing with misfits,
konform, (Added: 2026-06-12), <-- reason: crashing games,
KURUPTKHARMA, (Added: 2026-01-01), <-- reason: Crashing with Misfits,
l must kill, (Added: Unknown Date), <-- reason: Vulgar in chat - do not remove.,
lflumby20k, (Added: Unknown Date), <-- reason: No reason provided.,
lflumby21k, (Added: Unknown Date), <-- reason: No reason provided.,
Lfteam20k, (Added: Unknown Date), <-- reason: No reason provided.,
lllJustinlll, (Added: Unknown Date), <-- reason: No reason provided.,
Longjohnz, (Added: 2026-01-01), <-- reason: Crashing with misfits,
lts a main, (Added: 2026-03-22), <-- reason: alt of lts a pure,
megablazikan, (Added: 2026-03-21), <-- reason: Alt of Faraar as tracked on wiseoldman [Alt of: Faraar],
Mthr-Fc-Krz, (Added: 2026-01-01), <-- reason: Crashing with Misfits,
n0tor1us b1g, (Added: 2026-05-16), <-- reason: white dot showing up in pk gear whilst having several crashers over, apparently 320 regulars,
not ace4lyfe, (Added: Unknown Date), <-- reason: No reason provided.,
osrs diki, (Added: 2026-01-01), <-- reason: Crashing with Misfits,
PaulyWalnut, (Added: 2026-05-01), <-- reason: Disrespectful to ranks [Proof: evidence/paulywalnut/paulywalnut_20260501_000710.webp],
paxi bay, (Added: Unknown Date), <-- reason: who wouldnt stop hitting 5th ava cause 'he want point' after being told to off multiple times.,
